avg_mouse_speed,mouse_path_entropy,click_delay,task_completion_time,idle_time,label
0.958,0.374,0.838,2.544,1.056,1
0.474,0.595,1.874,5.211,1.08,1
0.723,0.674,1.318,3.104,0.772,1
0.874,0.537,0.631,3.508,0.32,1
0.549,0.818,1.133,3.933,1.105,1
1.078,0.563,1.931,2.856,1.073,1
0.445,0.813,1.794,3.525,0.433,1
0.845,0.301,0.91,4.44,1.399,1
0.542,0.724,1.846,2.988,0.776,1
0.75,0.435,1.802,2.33,1.138,1
1.187,0.272,1.101,3.325,0.599,1
0.549,0.574,1.14,4.97,1.406,1
0.629,0.55,1.04,4.464,1.003,1
0.865,0.719,1.323,2.527,0.731,1
0.922,0.366,2.442,5.669,0.256,1
0.43,0.835,1.649,2.992,1.444,1
1.061,0.647,0.991,2.2,1.321,1
1.03,0.546,1.71,4.838,1.098,1
1.167,0.491,1.845,4.132,0.347,1
0.974,0.529,2.387,2.002,0.287,1
0.868,0.674,1.263,4.428,0.9,1
0.599,0.402,1.018,5.885,1.445,1
0.933,0.466,1.509,5.414,1.034,1
0.841,0.7,0.721,3.933,0.407,1
1.038,0.251,1.791,3.811,1.03,1
0.531,0.678,1.597,2.108,0.282,1
0.584,0.292,1.516,4.538,1.494,1
0.506,0.3,1.059,4.235,0.551,1
1.179,0.677,2.339,2.879,0.649,1
0.451,0.493,1.125,2.37,1.008,1
0.542,0.654,2.025,5.678,0.721,1
0.549,0.389,1.272,3.086,1.411,1
0.468,0.508,1.597,2.21,0.306,1
0.417,0.651,1.403,5.216,0.627,1
0.66,0.533,2.305,3.461,1.371,1
0.373,0.666,1.534,4.775,1.062,1
0.793,0.621,1.089,3.021,1.251,1
1.008,0.736,2.203,2.114,1.367,1
0.746,0.414,2.418,4.188,1.186,1
0.775,0.526,1.826,5.473,1.115,1
0.467,0.739,1.967,4.734,0.48,1
0.713,0.648,1.991,3.276,1.219,1
0.498,0.728,0.787,2.813,1.214,1
0.455,0.373,1.106,2.842,1.042,1
0.895,0.583,0.673,2.919,1.451,1
0.749,0.571,1.386,3.789,0.792,1
1.078,0.277,2.152,2.448,0.495,1
0.914,0.571,2.284,2.553,0.343,1
1.186,0.328,1.421,2.018,0.656,1
1.11,0.818,0.949,5.452,0.767,1
0.945,0.671,2.218,2.477,0.624,1
0.714,0.77,2.03,3.255,0.644,1
1.068,0.287,1.764,4.642,0.254,1
1.055,0.639,1.538,3.57,0.225,1
0.432,0.328,1.841,5.557,0.721,1
0.362,0.792,1.577,3.538,0.219,1
0.918,0.8,1.504,2.764,0.766,1
0.791,0.435,1.085,2.281,1.318,1
0.388,0.315,0.976,5.934,1.085,1
0.764,0.492,1.384,2.255,1.158,1
1.028,0.385,1.549,2.128,1.195,1
0.476,0.382,1.672,2.367,1.19,1
1.032,0.433,0.625,3.953,1.265,1
0.355,0.37,1.082,2.435,0.733,1
0.943,0.734,1.962,3.179,1.058,1
0.383,0.654,2.493,4.804,0.473,1
0.349,0.504,2.274,2.588,1.417,1
0.905,0.268,0.78,5.587,0.232,1
0.521,0.253,0.825,3.248,0.662,1
0.979,0.42,1.183,3.071,1.222,1
0.396,0.6,1.479,5.346,0.541,1
0.769,0.462,1.294,4.816,0.466,1
0.73,0.443,0.812,3.683,1.329,1
0.46,0.61,2.443,4.282,1.427,1
0.953,0.421,1.064,3.74,0.388,1
0.48,0.452,0.853,5.888,0.896,1
0.869,0.701,1.255,3.129,0.209,1
0.498,0.386,0.831,5.543,0.343,1
0.93,0.305,1.541,3.653,1.097,1
1.067,0.781,1.476,5.302,1.012,1
0.301,0.79,1.434,3.524,1.214,1
0.847,0.548,2.103,3.861,1.223,1
0.915,0.276,2.416,3.803,0.251,1
0.992,0.403,0.701,4.638,0.361,1
0.406,0.714,1.557,5.71,0.619,1
0.66,0.579,0.759,4.854,1.051,1
0.791,0.267,1.26,4.364,0.546,1
1.093,0.728,1.665,3.905,0.302,1
1.193,0.323,1.101,2.808,1.475,1
0.364,0.774,2.036,5.522,0.435,1
1.152,0.578,1.915,2.395,0.283,1
0.913,0.373,2.41,5.727,0.322,1
0.725,0.58,0.877,3.154,0.774,1
0.312,0.823,1.034,5.016,1.14,1
0.663,0.743,2.322,3.434,1.414,1
0.68,0.318,1.635,3.83,0.721,1
0.775,0.685,0.946,4.062,0.973,1
0.8,0.462,1.877,5.156,1.184,1
0.96,0.658,2.212,5.047,0.485,1
0.77,0.324,1.373,4.906,0.998,1
0.31,0.805,0.663,2.337,1.198,1
0.54,0.548,1.971,4.195,1.495,1
0.333,0.291,0.833,2.94,0.343,1
0.633,0.465,1.68,3.118,0.234,1
0.968,0.583,1.934,2.433,0.595,1
0.574,0.753,2.151,5.905,0.227,1
1.024,0.521,0.897,4.119,1.238,1
0.359,0.615,1.334,5.66,0.912,1
1.132,0.389,0.733,4.104,0.344,1
0.707,0.355,1.834,3.016,0.76,1
1.057,0.515,1.498,2.059,0.272,1
1.067,0.398,2.188,5.388,0.997,1
0.76,0.516,2.291,5.847,1.264,1
0.303,0.465,2.055,3.025,1.296,1
0.712,0.842,2.039,2.618,0.218,1
1.197,0.628,1.197,4.133,0.685,1
1.035,0.487,1.782,2.736,1.023,1
0.838,0.449,1.065,3.01,1.034,1
1.175,0.746,2.384,5.704,0.875,1
0.886,0.536,1.895,4.597,0.5,1
0.85,0.824,1.015,5.59,1.152,1
1.166,0.541,1.001,2.527,1.157,1
0.915,0.47,0.671,2.061,0.959,1
0.384,0.371,1.871,2.645,0.456,1
0.93,0.73,1.271,4.465,0.529,1
0.451,0.685,0.948,4.024,1.285,1
0.715,0.828,1.132,4.246,1.386,1
0.713,0.617,2.212,5.059,1.144,1
0.949,0.806,2.105,3.617,1.087,1
0.662,0.321,0.843,2.752,0.637,1
0.663,0.834,1.591,2.973,0.795,1
0.478,0.452,1.656,2.327,1.115,1
1.068,0.622,0.648,5.631,0.831,1
0.49,0.528,2.036,2.435,1.266,1
0.492,0.506,2.33,2.034,1.373,1
